Month,Price,Category,Districts
2017 April,381,CrossBreed,Dharmapuri
2017 May,334,CrossBreed,Dharmapuri
2017 June,370,CrossBreed,Dharmapuri
2017 July,322,CrossBreed,Dharmapuri
2017 August,354,CrossBreed,Dharmapuri
2017 September,364,CrossBreed,Dharmapuri
2017 October,291,CrossBreed,Dharmapuri
2017 November,347,CrossBreed,Dharmapuri
2017 December,361,CrossBreed,Dharmapuri
2018 January,363,CrossBreed,Dharmapuri
2018 February,379,CrossBreed,Dharmapuri
2018 March,333,CrossBreed,Dharmapuri
2018 April,324,CrossBreed,Dharmapuri
2018 May,299,CrossBreed,Dharmapuri
2018 June,262,CrossBreed,Dharmapuri
2018 July,215,CrossBreed,Dharmapuri
2018 August,245,CrossBreed,Dharmapuri
2018 September,240,CrossBreed,Dharmapuri
2018 October,216,CrossBreed,Dharmapuri
2018 November,212,CrossBreed,Dharmapuri
2018 December,192,CrossBreed,Dharmapuri
2019 January,221,CrossBreed,Dharmapuri
2019 February,189,CrossBreed,Dharmapuri
2019 March,202,CrossBreed,Dharmapuri
2019 April,184,CrossBreed,Dharmapuri
2019 May,234,CrossBreed,Dharmapuri
2019 June,214,CrossBreed,Dharmapuri
2019 July,254,CrossBreed,Dharmapuri
2019 August,240,CrossBreed,Dharmapuri
2019 September,258,CrossBreed,Dharmapuri
2019 October,223,CrossBreed,Dharmapuri
2019 November,191,CrossBreed,Dharmapuri
2019 December,191,CrossBreed,Dharmapuri
2020 January,225,CrossBreed,Dharmapuri
2020 February,303,CrossBreed,Dharmapuri
2020 March,188,CrossBreed,Dharmapuri
2020 April,197,CrossBreed,Dharmapuri
2020 May,197,CrossBreed,Dharmapuri
2020 June,214,CrossBreed,Dharmapuri
2020 July,164,CrossBreed,Dharmapuri
2020 August,265,CrossBreed,Dharmapuri
2020 September,197,CrossBreed,Dharmapuri
2020 October,150,CrossBreed,Dharmapuri
2020 November,208,CrossBreed,Dharmapuri
2020 December,181,CrossBreed,Dharmapuri
2021 January,197,CrossBreed,Dharmapuri
2021 February,197,CrossBreed,Dharmapuri
